Roger Amuruz Gallegos,"11,762",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
José Barba Caballero,"169,601",30-Dic-1992,26-Jul-1995,Convergencia Democrática,COORDINADORA DEMOCRÁTICA,,en Ejercicio,CCD 1992 -1995
Gamaliel Barreto Estrada,"15,293",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Xavier Rodolfo Barrón Cebreros,"24,923",30-Dic-1992,26-Jul-1995,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO,,en Ejercicio,CCD 1992 -1995
Luis Bedoya De Vivanco,"33,108",30-Dic-1992,26-Jul-1995,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO,,en Ejercicio,CCD 1992 -1995
Carlos Miguel Blanco Oropeza,"41,311",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Pedro Cáceres Velásquez,"20,770",30-Dic-1992,26-Jul-1995,FRENATRACA,FRENTE NACIONAL DE TRABAJADORES Y CAMPESINOS,,en Ejercicio,CCD 1992 -1995
Roger Cáceres Velásquez,"74,794",30-Dic-1992,26-Jul-1995,FRENATRACA,FRENTE NACIONAL DE TRABAJADORES Y CAMPESINOS,,en Ejercicio,CCD 1992 -1995
Juan Guillermo Carpio Muñoz,"11,015",30-Dic-1992,26-Jul-1995,Renovación,RENOVACIÓN,,en Ejercicio,CCD 1992 -1995
Juan Carrión Ruiz,"9,214",30-Dic-1992,26-Jul-1995,Renovación,RENOVACIÓN,,en Ejercicio,CCD 1992 -1995
Julio Castro Gómez,"18,885",30-Dic-1992,26-Jul-1995,Movimiento Democrático de Izquierda,MOVIMIENTO DEMOCRÁTICO DE IZQUIERDA,,en Ejercicio,CCD 1992 -1995
Martha Gladys Chávez Cossío,"26,541",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Tito Chávez Romero,"17,009",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Enrique Chirinos Soto,"24,511",30-Dic-1992,26-Jul-1995,Renovación,RENOVACIÓN,,en Ejercicio,CCD 1992 -1995
Julio Chú Mériz,"10,099",30-Dic-1992,26-Jul-1995,Frente Independiente Moralizador,FRENTE INDEPENDIENTE MORALIZADOR,,en Ejercicio,CCD 1992 -1995
Genaro Colchado Arellano,"15,881",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Pablo Cruz Arrunátegui,"17,673",30-Dic-1992,26-Jul-1995,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO,,en Ejercicio,CCD 1992 -1995
Juan Cruzado Mantilla,"17,214",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,,CCD 1992 -1995
Carlos Ricardo Cuaresma Sánchez,"22,342",30-Dic-1992,26-Jul-1995,Frente Independiente Moralizador,FRENTE INDEPENDIENTE MORALIZADOR,,,CCD 1992 -1995
Julio Ernesto Díaz Palacios,"10,486",30-Dic-1992,26-Jul-1995,Movimiento Democrático de Izquierda,MOVIMIENTO DEMOCRÁTICO DE IZQUIERDA,,en Ejercicio,CCD 1992 -1995
Jorge Luis Donayre Lozano,"22,169",30-Dic-1992,26-Jul-1995,Convergencia Democrática,COORDINADORA DEMOCRÁTICA,,en Ejercicio,CCD 1992 -1995
César Fernández Arce,"23,724",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Carlos E Ferrero Costa,"23,106",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Jorge Figueroa Vizcarra,"15,966",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Lourdes Flores Nano,"264,846",30-Dic-1992,26-Jul-1995,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO,,en Ejercicio,CCD 1992 -1995
Antero Flores-Aráoz Esparza,"64,889",30-Dic-1992,26-Jul-1995,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO,,en Ejercicio,CCD 1992 -1995
Jaime Freundt-Thurne Oyanguren,"333,376",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Ernesto Ramón Gamarra Olivares,"38,985",30-Dic-1992,26-Jul-1995,Frente Independiente Moralizador,FRENTE INDEPENDIENTE MORALIZADOR,,en Ejercicio,CCD 1992 -1995
José Humberto Gamonal Cruz,"34,889",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Gustavo García Mundaca,"30,004",30-Dic-1992,26-Jul-1995,Movimiento Independiente Agrario,MOVIMIENTO INDEPENDIENTE AGRARIO,,en Ejercicio,CCD 1992 -1995
Pedro García Saavedra,"15,081",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Rómulo Guerra Ayala,"21,383",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Gloria Gilda Helfer Palacios,"164,740",30-Dic-1992,26-Jul-1995,Movimiento Democrático de Izquierda,MOVIMIENTO DEMOCRÁTICO DE IZQUIERDA,,en Ejercicio,CCD 1992 -1995
Juan Bosco Hermoza Ríos,"28,958",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Juan Huamanchumo Romero,0,30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Víctor Dionicio Joy Way Rojas,"64,637",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Alexander Martín Kouri Bumachar,"35,918",30-Dic-1992,26-Jul-1995,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO,,en Ejercicio,CCD 1992 -1995
Manuel Antonio La Torre Bardales,"29,557",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
César Larrabure Gálvez,"14,866",30-Dic-1992,26-Jul-1995,Frente Independiente Moralizador,FRENTE INDEPENDIENTE MORALIZADOR,,en Ejercicio,CCD 1992 -1995
Carlos Hernán León Trelles,"16,899",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Maria Del Carmen Lozada Rendón De Gamboa,"21,708",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Ricardo Arturo Marcenaro Frers,"11,650",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Samuel Matsuda Nishimura,"17,138",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Víctor Meléndez Campos,"12,515",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Manuel Moreyra Loredo,"43,551",30-Dic-1992,26-Jul-1995,Solidaridad y Democracia,SOLIDARIDAD Y DEMOCRACIA,,en Ejercicio,CCD 1992 -1995
Jorge Nakamura Hinostroza,"24,004",30-Dic-2017,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
Mario Ocharan Zegarra,"11,729",30-Dic-1992,26-Jul-1995,Partido Popular Cristiano,PARTIDO POPULAR CRISTIANO,,en Ejercicio,CCD 1992 -1995
Fernando Olivera Vega,"250,919",30-Dic-1992,26-Jul-1995,Frente Independiente Moralizador,FRENTE INDEPENDIENTE MORALIZADOR,,en Ejercicio,CCD 1992 -1995
Gonzalo Ortiz De Zevallos Roédel,"44,429",30-Dic-1992,26-Jul-1995,Renovación,RENOVACIÓN,,en Ejercicio,CCD 1992 -1995
Miguel Angel Pajares Ruíz,"20,979",30-Dic-1992,26-Jul-1995,Cambio 90-Nueva Mayoría,CAMBIO 90-NUEVA MAYORÍA,,en Ejercicio,CCD 1992 -1995
